DrugBank ID,Smiles,Name,Predicted negative probability,Predicted positive probability,Predicted classification
DB01081,O(C(=O)C1(CCN(CC1)CCC(C#N)(c1ccccc1)c1ccccc1)c1ccccc1)CC,Diphenoxylate,6.71E-02,9.33E-01,1
DB01080,OC(=O)CCC(N)C=C,Vigabatrin,9.98E-01,1.65E-03,0
DB01078,O1CC(=CC1=O)[C@H]1CC[C@]2(O)[C@H]3[C@H](C[C@@H](O)[C@]12C)[C@@]1([C@@H](C[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@@H]4O[C@H](C)[C@@H](O[C@@H]5O[C@H](C)[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@H](O)C5)[C@@H](O)C4)[C@@H](O)C2)CC1)CC3)C,Deslanoside,9.83E-02,9.02E-01,1
DB01077,P(O)(O)(=O)C(P(O)(O)=O)(O)C,Etidronic acid,1.00E+00,1.94E-04,0
DB01076,Fc1ccc(cc1)-c1n(CCC(O)CC(O)CC(=O)[O-])c(C(C)C)c(C(=O)Nc2ccccc2)c1-c1ccccc1,Atorvastatin,5.29E-01,4.71E-01,0
DB01075,O(C(c1ccccc1)c1ccccc1)CCN(C)C,Diphenhydramine,2.98E-02,9.70E-01,1
DB01074,N1CCCCC1CC(C1CCCCC1)C1CCCCC1,Perhexiline,4.52E-02,9.55E-01,1
DB01073,P(OC[C@H]1O[C@@H](n2c3nc(F)nc(N)c3nc2)[C@@H](O)[C@@H]1O)(O)(O)=O,Fludarabine,9.85E-01,1.49E-02,0
DB01072,O(C(=O)N[C@@H](C(C)(C)C)C(=O)N[C@H]([C@@H](O)CN(NC(=O)[C@@H](NC(OC)=O)C(C)(C)C)Cc1ccc(cc1)-c1ncccc1)Cc1ccccc1)C,Atazanavir,6.01E-01,3.99E-01,0
DB01071,S1c2c(N(c3c1cccc3)CC1C3CCN(C1)CC3)cccc2,Mequitazine,2.22E-02,9.78E-01,1
DB01070,O[C@@H]1C\C(=C/C=C\2/[C@@H]3CC[C@H]([C@@H](\C=C\[C@@H](C(C)C)C)C)[C@]3(CCC/2)C)\[C@H](CC1)C,Dihydrotachysterol,5.78E-02,9.42E-01,1
DB01069,S1c2c(N(c3c1cccc3)CC(N(C)C)C)cccc2,Promethazine,3.77E-01,6.23E-01,1
DB01068,Clc1ccccc1C1=NCC(=O)Nc2c1cc([N+](=O)[O-])cc2,Clonazepam,7.56E-01,2.44E-01,0
DB01067,S(=O)(=O)(NC(=O)NC1CCCCC1)c1ccc(cc1)CCNC(=O)c1ncc(nc1)C,Glipizide,8.72E-01,1.28E-01,0
DB01066,s1cnc(C)c1\C=C/C=1CS[C@H]2N(C=1C(O)=O)C(=O)[C@H]2NC(=O)\C(=N/OC)\c1nc(sc1)N,Cefditoren,9.66E-01,3.39E-02,0
DB01065,O(C)c1cc2c([nH]cc2CCNC(=O)C)cc1,Melatonin,8.87E-01,1.13E-01,0
DB01064,Oc1cc(ccc1O)C(O)CNC(C)C,Isoprenaline,9.89E-01,1.15E-02,0
DB01063,S1c2c(N(c3c1cccc3)CCCN1CCN(CC1)CCO)cc(cc2)C(=O)C,Acetophenazine,6.29E-02,9.37E-01,1
DB01062,O(C(=O)C(O)(C1CCCCC1)c1ccccc1)CC#CCN(CC)CC,Oxybutynin,9.94E-02,9.01E-01,1
DB01061,S1[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCNC1=O)c1ccccc1,Azlocillin,9.87E-01,1.32E-02,0
DB01060,S1[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)[C@H]2NC(=O)[C@H](N)c1ccc(O)cc1,Amoxicillin,9.94E-01,5.91E-03,0
DB01059,Fc1cc2c(N(C=C(C(O)=O)C2=O)CC)cc1N1CCNCC1,Norfloxacin,9.92E-01,8.18E-03,0
DB01058,O=C1N2C(c3c(CC2)cccc3)CN(C1)C(=O)C1CCCCC1,Praziquantel,9.04E-01,9.62E-02,0
DB01057,S(P(OCC)(OCC)=O)CC[N+](C)(C)C,Echothiophate,9.99E-01,5.55E-04,0
DB01056,O=C(Nc1c(cccc1C)C)C(N)C,Tocainide,9.92E-01,8.35E-03,0
DB01055,OC1=CN(C=CC1=O)C[C@H](N)C(O)=O,Mimosine,1.00E+00,2.16E-04,0
DB01054,O(C(=O)C=1C(C(C(OC)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1)CC,Nitrendipine,9.09E-01,9.10E-02,0
DB01053,S1[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)[C@H]2NC(=O)Cc1ccccc1,Benzylpenicillin,9.91E-01,8.76E-03,0
DB01051,O1[C@@H](Oc2ccc3c(OC(=O)C(NC(=O)c4cc(CC=C(C)C)c(O)cc4)=C3O)c2C)[C@H](O)[C@H](OC(=O)N)[C@@H](OC)C1(C)C,Novobiocin,7.81E-01,2.19E-01,0
DB01050,OC(=O)C(C)c1ccc(cc1)CC(C)C,Ibuprofen,9.88E-01,1.21E-02,0
DB01049,S(O)(=O)(=O)C.O1[C@](NC(=O)[C@@H]2C[C@H]3[C@H](N(C2)C)Cc2c4c3cccc4[nH]c2)(C(C)C)C(=O)N2[C@@H](C)C(=O)N3[C@@H](CCC3)[C@]12O,Ergoloid mesylate,4.88E-01,5.12E-01,1
DB01048,OC[C@H]1C[C@@H](n2c3nc(nc(NC4CC4)c3nc2)N)C=C1,Abacavir,6.63E-01,3.37E-01,0
DB01047,F[C@@]12[C@H]([C@@H]3C[C@H]4OC(O[C@@]4(C(=O)COC(=O)C)[C@]3(C[C@@H]1O)C)(C)C)C[C@H](F)C1=CC(=O)C=C[C@@]12C,Fluocinonide,9.70E-01,3.02E-02,0
DB01046,FC(F)(CCCC)[C@@]1(O[C@H]2[C@H](CC1)[C@H](CCCCCCC(O)=O)C(=O)C2)O,Lubiprostone,5.54E-01,4.46E-01,0
DB01045,O1c2c3c4c(c(O)c2C)c(O)c(NC(=O)/C(=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@H](C)[C@@H](OC)\C=C\O[C@]1(C)C3=O)/C)c(\C=N\N1CCN(CC1)C)c4O,Rifampicin,7.93E-01,2.07E-01,0
DB01044,Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)c(OC)c1N1CC(NCC1)C,Gatifloxacin,9.76E-01,2.40E-02,0
DB01043,NC12CC3(CC(C1)(CC(C3)C2)C)C,Memantine,9.15E-01,8.54E-02,0
DB01042,ClCCN(CCCl)c1ccc(cc1)C[C@H](N)C(O)=O,Melphalan,9.70E-01,2.99E-02,0
DB01041,O=C1NC(=O)CCC1N1C(=O)c2c(cccc2)C1=O,Thalidomide,1.00E+00,3.87E-04,0
DB01040,S(O)(=O)(=O)CCO.S(O)(=O)(=O)CCO.O=C/1C=C(C=C\C\1=C\C=C1C=CC(C=C1)=C(N)N)C(N)=N,Hydroxystilbamidine Isethionate,4.14E-01,5.86E-01,1
DB01039,Clc1ccc(cc1)C(=O)c1ccc(OC(C(OC(C)C)=O)(C)C)cc1,Fenofibrate,6.84E-01,3.16E-01,0
DB01037,N(C(Cc1ccccc1)C)(CC#C)C,Selegiline,3.79E-01,6.21E-01,1
DB01036,Oc1ccc(cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1)C,Tolterodine,2.28E-01,7.72E-01,1
DB01035,O=C(NCCN(CC)CC)c1ccc(N)cc1,Procainamide,8.90E-01,1.10E-01,0
DB01034,O1[C@H](C(=O)CCC=CCC=CC)[C@@H]1C(=O)N,Cerulenin,9.90E-01,1.01E-02,0
DB01033,S=C1N=CNc2nc[nH]c12,Mercaptopurine,9.86E-01,1.44E-02,0
DB01032,S(=O)(=O)(N(CCC)CCC)c1ccc(cc1)C(O)=O,Probenecid,9.88E-01,1.19E-02,0
DB01031,O(C(=O)N)C1(CCCCC1)C#C,Ethinamate,9.81E-01,1.91E-02,0
DB01030,O1CC2=C(C=C3N(Cc4c3nc3c(c4)c(CN(C)C)c(O)cc3)C2=O)[C@@](O)(CC)C1=O,Topotecan,8.51E-01,1.49E-01,0
DB01029,O=C1N(Cc2ccc(cc2)-c2ccccc2-c2nn[nH]n2)C(=NC12CCCC2)CCCC,Irbesartan,2.36E-01,7.64E-01,1
DB01028,ClC(Cl)C(F)(F)OC,Methoxyflurane,8.22E-01,1.78E-01,0
DB01026,Clc1cc(Cl)ccc1C1(OC(CO1)COc1ccc(N2CCN(CC2)C(=O)C)cc1)Cn1ccnc1,Ketoconazole,1.17E-01,8.83E-01,1
DB01025,O1c2c(cc(cc2)C(C)C)C(=O)c2cc(C(O)=O)c(nc12)N,Amlexanox,9.64E-01,3.60E-02,0
DB01024,O1Cc2c(c(O)c(C\C=C(\CCC(O)=O)/C)c(OC)c2C)C1=O,Mycophenolic acid,9.85E-01,1.55E-02,0
DB01023,Clc1c(cccc1Cl)C1C(C(OCC)=O)=C(NC(C)=C1C(OC)=O)C,Felodipine,8.26E-01,1.74E-01,0
DB01022,O=C1c2c(cccc2)C(=O)C(C)=C1C\C=C(\CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)/C,Phylloquinone,1.18E-01,8.82E-01,1
DB01021,Clc1cc2NC(NS(=O)(=O)c2cc1S(=O)(=O)N)C(Cl)Cl,Trichlormethiazide,9.44E-01,5.60E-02,0
DB01020,O1[C@H]2[C@H](OC[C@@H]2O)[C@H](O[N+](=O)[O-])C1,Isosorbide Mononitrate,9.97E-01,3.32E-03,0
DB01019,O(C(C[N+](C)(C)C)C)C(=O)N,Bethanechol,1.00E+00,1.11E-05,0
DB01018,Clc1cccc(Cl)c1CC(=O)NC(N)=N,Guanfacine,9.50E-01,5.01E-02,0
DB01017,OC=1[C@@H](N(C)C)[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C=1C(=O)N)C(=O)c1c(C3)c(N(C)C)ccc1O,Minocycline,9.49E-01,5.14E-02,0
DB01016,Clc1cc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)c(OC)cc1,Glyburide,7.22E-01,2.78E-01,0
DB01015,S(=O)(=O)(Nc1noc(c1)C)c1ccc(N)cc1,Sulfamethoxazole,9.85E-01,1.49E-02,0
DB01014,Oc1ccc(\N=N\c2ccc(cc2)C(=O)NCCC(O)=O)cc1C(O)=O,Balsalazide,9.69E-01,3.09E-02,0
DB01013,ClCC(=O)[C@]1(OC(=O)CC)[C@@]2([C@H]([C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C2)C[C@@H]1C)C,Clobetasol propionate,9.33E-01,6.67E-02,0
DB01012,FC(F)(F)c1cc(ccc1)CCCN[C@H](C)c1c2c(ccc1)cccc2,Cinacalcet,2.53E-02,9.75E-01,1
DB01011,O=C(C(C)(C)c1cccnc1)c1cccnc1,Metyrapone,9.92E-01,7.57E-03,0
DB01010,Oc1cc([N+](CC)(C)C)ccc1,Edrophonium,9.89E-01,1.09E-02,0
DB01009,OC(=O)C(C)c1cc(ccc1)C(=O)c1ccccc1,Ketoprofen,9.98E-01,2.18E-03,0
DB01008,S(OCCCCOS(=O)(=O)C)(=O)(=O)C,Busulfan,9.98E-01,2.38E-03,0
DB01007,Clc1cc(Cl)ccc1C(OCc1ccsc1Cl)Cn1ccnc1,Tioconazole,3.21E-02,9.68E-01,1
DB01006,n1cn(nc1)C(c1ccc(cc1)C#N)c1ccc(cc1)C#N,Letrozole,7.71E-01,2.29E-01,0
DB01005,O=C(NO)N,Hydroxyurea,9.94E-01,5.67E-03,0
DB01004,O=C1NC(=Nc2n(cnc12)COC(CO)CO)N,Ganciclovir,9.84E-01,1.65E-02,0
DB01003,O1c2c(C(=O)C=C1C(O)=O)c(OCC(O)COc1c3c(OC(=CC3=O)C(O)=O)ccc1)ccc2,Cromoglicic acid,9.38E-01,6.20E-02,0
DB01002,O=C(Nc1c(cccc1C)C)[C@H]1N(CCCC1)CCCC,Levobupivacaine,6.80E-01,3.20E-01,0
DB01001,Oc1ccc(cc1CO)C(O)CNC(C)(C)C,Salbutamol,9.85E-01,1.46E-02,0
DB01000,S1[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)[C@H]2NC(=O)C1(N)CCCCC1,Cyclacillin,9.97E-01,2.64E-03,0
DB00999,Clc1cc2NCNS(=O)(=O)c2cc1S(=O)(=O)N,Hydrochlorothiazide,9.86E-01,1.43E-02,0
DB00998,O=C(N)c1cc2c3C[C@H](NC)CCc3[nH]c2cc1,Frovatriptan,7.76E-01,2.24E-01,0
DB00997,O1[C@@H](C)[C@@H](O)[C@@H](N)C[C@@H]1O[C@@H]1c2c(C[C@](O)(C1)C(=O)CO)c(O)c1c(C(=O)c3c(cccc3OC)C1=O)c2O,Doxorubicin,9.54E-01,4.58E-02,0
DB00996,OC(=O)CC1(CCCCC1)CN,Gabapentin,9.98E-01,1.78E-03,0
DB00995,[Au-](S[C@@H]1O[C@H](COC(=O)C)[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@H]1OC(=O)C)[P+](CC)(CC)CC,Auranofin,9.98E-01,1.90E-03,0
DB00994,O1[C@@H](CN)[C@@H](O)[C@H](O)[C@@H](N)[C@H]1O[C@H]1[C@@H](O)[C@@H](O[C@@H]1CO)O[C@H]1[C@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2N)[C@@H](N)C[C@@H](N)[C@@H]1O,Neomycin,9.96E-01,3.54E-03,0
DB00993,S(c1n(cnc1[N+](=O)[O-])C)c1ncnc2nc[nH]c12,Azathioprine,8.78E-01,1.22E-01,0
DB00992,O(C(=O)CCC(=O)CN)C,Methyl aminolevulinate,9.99E-01,5.77E-04,0
DB00991,o1c(c(nc1CCC(O)=O)-c1ccccc1)-c1ccccc1,Oxaprozin,8.27E-01,1.73E-01,0
DB00990,O=C1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1(C(=CC(=O)C=C1)C(C3)=C)C,Exemestane,9.43E-01,5.67E-02,0
DB00989,O(C(=O)N(CC)C)c1cc(ccc1)[C@@H](N(C)C)C,Rivastigmine,6.45E-01,3.55E-01,0
DB00988,Oc1cc(ccc1O)CCN,Dopamine,9.86E-01,1.38E-02,0
DB00987,O1[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1N1C=CC(=NC1=O)N,Cytarabine,9.93E-01,7.15E-03,0
DB00986,O(C(=O)C(O)(C1CCCC1)c1ccccc1)C1CC[N+](C1)(C)C,Glycopyrrolate,7.24E-01,2.76E-01,0
DB00985,Clc1nc2N(C)C(=O)N(C)C(=O)c2[n-]1.O(C(c1ccccc1)c1ccccc1)CC[NH+](C)C,Dimenhydrinate,2.59E-01,7.41E-01,1
DB00984,O=C1CC[C@@H]2[C@@H]3[C@H]([C@@H]4CC[C@H](OC(=O)CCc5ccccc5)[C@]4(CC3)C)CCC2=C1,Nandrolone phenpropionate,1.21E-01,8.79E-01,1
DB00983,O(C)c1ccc(cc1)CC(NCC(O)c1cc(NC=O)c(O)cc1)C,Formoterol,6.85E-01,3.15E-01,0
DB00982,OC(=O)\C=C(/C=C/C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)\C,Isotretinoin,9.08E-01,9.17E-02,0
DB00981,O(C(=O)NC)c1cc2c(N([C@H]3N(CC[C@@]23C)C)C)cc1,Physostigmine,7.02E-01,2.98E-01,0
DB00980,O1CCc2c3c(CC[C@H]3CCNC(=O)CC)ccc12,Ramelteon,7.08E-01,2.92E-01,0
DB00979,OC1(CCCC1)C(C(OCCN(C)C)=O)c1ccccc1,Cyclopentolate,8.65E-01,1.35E-01,0
DB00978,Fc1c2N(C=C(C(O)=O)C(=O)c2cc(F)c1N1CC(NCC1)C)CC,Lomefloxacin,9.84E-01,1.55E-02,0
DB00977,Oc1cc2CC[C@H]3[C@@H]4CC[C@@](O)(C#C)[C@]4(CC[C@@H]3c2cc1)C,Ethinyl Estradiol,7.70E-01,2.30E-01,0
DB00976,O1[C@@H](CC)[C@@]2(OC(=O)N([C@@H]2[C@@H](C)C(=O)[C@@H](C[C@](OC)(C)[C@H](O[C@@H]2O[C@@H](C[C@H](N(C)C)[C@H]2O)C)[C@@H](C)C(=O)[C@@H](C)C1=O)C)CCCCn1cc(nc1)-c1cccnc1)C,Telithromycin,5.51E-01,4.49E-01,0
DB00975,OCCN(CCO)c1nc(N2CCCCC2)c2nc(nc(N3CCCCC3)c2n1)N(CCO)CCO,Dipyridamole,8.21E-01,1.79E-01,0
DB00974,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,Edetic Acid,1.00E+00,1.26E-05,0
DB00973,Fc1ccc(cc1)[C@@H](O)CC[C@@H]1[C@H](N(C1=O)c1ccc(F)cc1)c1ccc(O)cc1,Ezetimibe,1.53E-01,8.47E-01,1
DB00972,Clc1ccc(cc1)CC1=NN(C2CCCN(CC2)C)C(=O)c2c1cccc2,Azelastine,2.39E-02,9.76E-01,1
DB00971,[Se]=S,Selenium Sulfide,7.06E-01,2.94E-01,0
DB00970,O1[C@H](C)[C@H](NC(=O)C=2C3=Nc4c(OC3=C(C)C(=O)C=2N)c(ccc4C(=O)N[C@H]2[C@H](OC(=O)[C@@H](N(C)C(=O)CN(C)C(=O)[C@H]3N(CCC3)C(=O)[C@H](NC2=O)C(C)C)C(C)C)C)C)C(=O)N[C@H](C(C)C)C(=O)N2[C@@H](CCC2)C(=O)N(CC(=O)N(C)[C@@H](C(C)C)C1=O)C,Dactinomycin,2.99E-03,9.97E-01,1
DB00969,O=C1N(CCc2n(c3c(c12)cccc3)C)Cc1nc[nH]c1C,Alosetron,7.60E-01,2.40E-01,0
DB00968,Oc1cc(ccc1O)C[C@](N)(C(O)=O)C,Methyldopa,9.97E-01,3.47E-03,0
DB00967,Clc1cc2c(cc1)C(c1ncccc1CC2)=C1CCNCC1,Desloratadine,6.21E-02,9.38E-01,1
DB00966,OC(=O)c1ccccc1-c1ccc(cc1)Cn1c2c(nc1CCC)c(cc(c2)-c1nc2c(n1C)cccc2)C,Telmisartan,8.03E-02,9.20E-01,1
DB00964,Clc1cc(N)cc(Cl)c1NC=1NCCN=1,Apraclonidine,6.79E-01,3.21E-01,0
DB00963,Brc1ccc(cc1)C(=O)c1cccc(CC(O)=O)c1N,Bromfenac,9.89E-01,1.09E-02,0
DB00962,O=C(N(CC)c1cc(ccc1)C=1n2ncc(c2N=CC=1)C#N)C,Zaleplon,7.08E-01,2.92E-01,0
DB00961,O=C(Nc1c(cccc1C)C)C1N(CCCC1)C,Mepivacaine,8.88E-01,1.12E-01,0
DB00960,O(CC(O)CNC(C)C)c1c2c([nH]cc2)ccc1,Pindolol,8.70E-01,1.30E-01,0
DB00959,O=C1C=C2[C@@]([C@@H]3[C@H]([C@@H]4CC[C@](O)(C(=O)CO)[C@]4(C[C@@H]3O)C)C[C@@H]2C)(C=C1)C,Methylprednisolone,9.91E-01,9.37E-03,0
DB00958,[Pt]1OC(=O)C2(CCC2)C(O1)=O.N.N,Carboplatin,1.00E+00,1.13E-04,0
DB00957,O(C(=O)C)[C@]1(CC[C@H]2[C@H]3[C@@H]([C@@H]4C(=C/C(=N/O)/CC4)CC3)CC[C@]12CC)C#C,Norgestimate,8.28E-01,1.72E-01,0
DB00956,O1[C@@H]2[C@]34[C@H]([C@H](N(CC3)C)Cc3c4c1c(OC)cc3)CCC2=O,Hydrocodone,8.01E-01,1.99E-01,0
DB00955,O1[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@H](O)[C@@H](NC)[C@]3(O)C)[C@H](NCC)C[C@@H]2N)[C@H](N)CC=C1CN,Netilmicin,9.68E-01,3.15E-02,0
DB00954,O1[C@H](CC)[C@@](O)([C@H]2O[C@@H](N[C@@H]([C@@H](C[C@](O)(C)[C@H](O[C@@H]3O[C@@H](C[C@H](N(C)C)[C@H]3O)C)[C@H](C)[C@@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@](OC)(C3)C)[C@@H](C)C1=O)C)[C@H]2C)COCCOC)C,Dirithromycin,7.35E-01,2.65E-01,0
DB00953,[nH]1cc(c2cc(ccc12)Cn1ncnc1)CCN(C)C,Rizatriptan,2.26E-01,7.74E-01,1
DB00952,S(=O)(=O)(NC)CCc1cc2c([nH]cc2C2CCN(CC2)C)cc1,Naratriptan,9.78E-02,9.02E-01,1
DB00951,O=C(NN)c1ccncc1,Isoniazid,1.00E+00,4.32E-04,0
DB00950,OC(C1CCN(CC1)CCCC(O)c1ccc(cc1)C(C(O)=O)(C)C)(c1ccccc1)c1ccccc1,Fexofenadine,4.07E-01,5.93E-01,1
DB00949,O(CC(COC(=O)N)c1ccccc1)C(=O)N,Felbamate,9.52E-01,4.85E-02,0
DB00948,S1[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(S(=O)(=O)C)C1=O)c1ccccc1,Mezlocillin,9.89E-01,1.11E-02,0
DB00947,S(=O)(CCCC(F)(F)C(F)(F)F)CCCCCCCCC[C@@H]1Cc2cc(O)ccc2[C@@H]2C1[C@@H]1CC[C@H](O)[C@]1(CC2)C,Fulvestrant,5.67E-02,9.43E-01,1
DB00946,O1c2c(cccc2)C(O)=C(C(CC)c2ccccc2)C1=O,Phenprocoumon,9.11E-01,8.89E-02,0
DB00945,O(C(=O)C)c1ccccc1C(O)=O,Acetylsalicylic acid,1.00E+00,4.41E-04,0
DB00944,O(C(=O)N(CCCCCCCCCCN(C(Oc1cc([N+](C)(C)C)ccc1)=O)C)C)c1cc([N+](C)(C)C)ccc1,Demecarium,1.45E-01,8.55E-01,1
DB00943,O1[C@@H](CC[C@@H]1N1C=CC(=NC1=O)N)CO,Zalcitabine,9.73E-01,2.69E-02,0
DB00942,OC(CCN1CCCCC1)(C1CCCC1)c1ccccc1,Cycrimine,1.35E-01,8.65E-01,1
DB00941,[N+](CCCCCC[N+](C)(C)C1c2c(-c3c1cccc3)cccc2)(C)(C)C1c2c(-c3c1cccc3)cccc2.CC,Hexafluronium,2.50E-02,9.75E-01,1
DB00940,O1c2c(cccc2)C(c2c1cccc2)C(OCC[N+](CC)(CC)C)=O,Methantheline,3.40E-01,6.60E-01,1
DB00939,Clc1c(Nc2ccccc2C(O)=O)c(Cl)ccc1C,Meclofenamic acid,8.74E-01,1.26E-01,0
DB00938,Oc1ccc(cc1CO)C(O)CNCCCCCCOCCCCc1ccccc1,Salmeterol,1.30E-01,8.70E-01,1
DB00937,O=C(C(N(CC)CC)C)c1ccccc1,Diethylpropion,9.51E-01,4.94E-02,0
DB00936,Oc1ccccc1C(O)=O,Salicylic acid,1.00E+00,1.36E-04,0
DB00935,Oc1c(C)c(CC=2NCCN=2)c(cc1C(C)(C)C)C,Oxymetazoline,7.52E-01,2.48E-01,0
DB00934,N(CCCC12CCC(c3c1cccc3)c1c2cccc1)C,Maprotiline,3.28E-02,9.67E-01,1
DB00933,S1c2c(N(c3c1cccc3)CCC1N(CCCC1)C)cc(S(=O)C)cc2,Mesoridazine,1.93E-02,9.81E-01,1
DB00932,S(=O)(=O)(Nc1cc(ccc1)[C@@H](CC)C=1C(=O)C[C@](OC=1O)(CCc1ccccc1)CCC)c1ncc(cc1)C(F)(F)F,Tipranavir,2.52E-01,7.48E-01,1
DB00931,OC1=C2[C@H]([C@H](O)[C@@H]3[C@@]1(O)C(=O)C(C(=O)N)C(=O)[C@H]3N(C)C)C(c1c(C2=O)c(O)ccc1)=C,Methacycline,9.90E-01,1.04E-02,0
DB00929,O=C1C[C@@H](O)[C@H](\C=C\CC(O)(CCCC)C)[C@H]1CCCCCCC(OC)=O,Misoprostol,3.29E-01,6.71E-01,1
DB00928,O1[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]1N1C=NC(=NC1=O)N,Azacitidine,9.96E-01,3.76E-03,0
DB00927,s1cc(nc1N=C(N)N)CSCCC(N)=NS(=O)(=O)N,Famotidine,8.17E-01,1.83E-01,0
DB00925,ClCCN(Cc1ccccc1)C(COc1ccccc1)C,Phenoxybenzamine,2.53E-02,9.75E-01,1
DB00924,N(CCC=C1c2c(C=Cc3c1cccc3)cccc2)(C)C,Cyclobenzaprine,2.74E-02,9.73E-01,1
DB00923,S1[C@H]2N(C(C(O)=O)=C(C1)CSc1nnnn1CC(O)=O)C(=O)[C@H]2NC(=O)Cc1ccccc1CN,Ceforanide,9.86E-01,1.43E-02,0
DB00922,O=C1NN=C([C@@H](C1)C)c1ccc(NN=C(C#N)C#N)cc1,Levosimendan,8.32E-01,1.68E-01,0
DB00921,O1[C@@H]2[C@]34[C@@]5([C@H](N(CC3)CC3CC3)Cc3c4c1c(O)cc3)C[C@H]([C@](O)(C(C)(C)C)C)[C@]2(OC)CC5,Buprenorphine,6.02E-02,9.40E-01,1
DB00920,s1c2c(cc1)C(c1c(CC2=O)cccc1)=C1CCN(CC1)C,Ketotifen,3.67E-01,6.33E-01,1
DB00919,O1[C@H]2[C@H](O[C@@H]3O[C@@H](CC(=O)[C@]13O)C)[C@@H](O)[C@H](NC)[C@H](O)[C@@H]2NC,Spectinomycin,9.98E-01,1.64E-03,0
DB00918,S(=O)(=O)(N1CCCC1)Cc1cc2c([nH]cc2CCN(C)C)cc1,Almotriptan,6.60E-02,9.34E-01,1
DB00917,O=C1C[C@@H](O)[C@H](\C=C\[C@@H](O)CCCCC)[C@H]1C\C=C/CCCC(O)=O,Dinoprostone,8.43E-01,1.57E-01,0
DB00916,OCCn1c(ncc1[N+](=O)[O-])C,Metronidazole,9.60E-01,4.03E-02,0
DB00915,NC12CC3CC(C1)CC(C2)C3,Amantadine,8.11E-01,1.89E-01,0
DB00914,N(CCc1ccccc1)C(NC(N)=N)=N,Phenformin,9.53E-01,4.70E-02,0
DB00913,O(C(=O)C1(CCN(CC1)CCc1ccc(N)cc1)c1ccccc1)CC,Anileridine,9.48E-02,9.05E-01,1
DB00912,O(CC)c1cc(ccc1C(O)=O)CC(=O)N[C@@H](CC(C)C)c1ccccc1N1CCCCC1,Repaglinide,4.17E-01,5.83E-01,1
DB00911,S(=O)(=O)(CCn1c(ncc1[N+](=O)[O-])C)CC,Tinidazole,9.09E-01,9.07E-02,0
DB00910,O[C@@H]1CC(C[C@@H](O)C1)=C\C=C/1\[C@@H]2CC[C@H]([C@@H](\C=C\[C@@H](C(O)(C)C)C)C)[C@]2(CCC\1)C,Paricalcitol,2.57E-01,7.43E-01,1
DB00909,S(=O)(=O)(N)Cc1noc2c1cccc2,Zonisamide,9.98E-01,2.20E-03,0
DB00908,O(C)c1cc2c(nccc2[C@H](O)[C@@H]2N3C[C@@H]([C@H](C2)CC3)C=C)cc1,Quinidine,1.03E-01,8.97E-01,1
DB00907,O(C(=O)c1ccccc1)[C@H]1C[C@H]2N([C@H](CC2)[C@H]1C(OC)=O)C,Cocaine,8.72E-01,1.28E-01,0
DB00906,s1ccc(C)c1C(=CCCN1C[C@@H](CCC1)C(O)=O)c1sccc1C,Tiagabine,5.25E-01,4.75E-01,0
DB00905,O[C@H]1C[C@@H](O)[C@H](\C=C\[C@@H](O)CCc2ccccc2)[C@H]1C\C=C/CCCC(=O)NCC,Bimatoprost,3.68E-01,6.32E-01,1
DB00904,O=C1c2c(n(c3c2cccc3)C)CCC1Cn1ccnc1C,Ondansetron,7.36E-01,2.64E-01,0
DB00903,Clc1c(Cl)c(OCC(O)=O)ccc1C(=O)C(CC)=C,Ethacrynic acid,9.82E-01,1.76E-02,0
DB00902,S1c2c(N(c3c1cccc3)CC1CCN(C1)C)cccc2,Methdilazine,9.95E-02,9.00E-01,1
